No.,C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Co,Cu,Al,Ti,V,B,Th,I,U,Ve,Strain,TCL
360,0.082,0.17,2.08,0.008,0.012,20.87,30.56,1.9,0.0094,0.19,0,0.01,0.09,0.29,0.49,0.005,3.175,100,12,4,0.5,2.87
361,0.116,0.14,1.85,0.006,0.006,20.27,29.15,1.05,0.039,0.13,0,0.01,0.079,0.34,0.84,0.0104,3.175,100,12,4,0.25,6
362,0.082,0.17,2.08,0.008,0.012,20.87,30.56,1.9,0.0094,0.19,0,0.01,0.09,0.29,0.49,0.005,3.175,100,12,4,0.25,1.11
363,0.12,0.56,0.77,0.018,0.001,15.4,14.5,2.42,0.02,0.43,0,2.97,0.02,0.23,0,0,3.175,100,12,4,4,7.18
364,0.12,0.56,0.77,0.018,0.001,15.4,14.5,2.42,0.02,0.43,0,2.97,0.02,0.23,0,0,3.175,100,12,4,2,5.42
365,0.12,0.56,0.77,0.018,0.001,15.4,14.5,2.42,0.02,0.43,0,2.97,0.02,0.23,0,0,3.175,100,12,4,1,3.86
366,0.12,0.56,0.77,0.018,0.001,15.4,14.5,2.42,0.02,0.43,0,2.97,0.02,0.23,0,0,3.175,100,12,4,0.5,3.63
367,0.12,0.56,0.77,0.018,0.001,15.4,14.5,2.42,0.02,0.43,0,2.97,0.02,0.23,0,0,3.175,100,12,4,0.25,1.76
368,0.009,0.08,5.2,0.005,0.006,21.3,12.4,2,0.3,0.23,0,0,0.02,0,0.2,0,3.2,50,8,1.69,2.3,3.64
369,0.038,0.25,6.5,0.009,0.004,22.7,11,2.2,0.32,0.01,0,0,0.02,0,0.25,0,3.2,50,8,1.69,2.5,0
370,0.04,0.02,6.2,0.005,0.006,23,11.3,2,0.32,0.24,0,0,0.02,0,0.2,0,3.2,50,8,1.69,2.3,4.86
371,0.009,0.08,5.2,0.005,0.006,21.3,12.4,2,0.3,0.23,0,0,0.02,0,0.2,0,3.2,50,8,1.69,1.4,1.79
372,0.038,0.25,6.5,0.009,0.004,22.7,11,2.2,0.32,0.01,0,0,0.02,0,0.25,0,3.2,50,8,1.69,1.4,0.01
373,0.04,0.02,6.2,0.005,0.006,23,11.3,2,0.32,0.24,0,0,0.02,0,0.2,0,3.2,50,8,1.69,1.4,1.84
374,0.03,0.04,0.05,0.005,0.005,12.63,7.9,1.73,0.002,0,0,0,1.08,0,0,0,6.35,180,12,2.54,3,2.04
375,0.03,0.04,0.05,0.005,0.005,12.63,7.9,1.73,0.002,0,0,0,1.08,0,0,0,6.35,180,12,2.54,2,0.47
376,0.03,0.04,0.05,0.005,0.005,12.63,7.9,1.73,0.002,0,0,0,1.08,0,0,0,6.35,180,12,2.54,1.5,0
377,0.03,0.04,0.05,0.005,0.005,12.63,7.9,1.73,0.002,0,0,0,1.08,0,0,0,6.35,180,12,2.54,1,0
378,0.03,0.04,0.05,0.005,0.005,12.63,7.9,1.73,0.002,0,0,0,1.08,0,0,0,6.35,180,12,2.54,0.5,0
379,0.03,0.4,0.33,0.008,0.005,14.75,6.44,0.76,0.035,0.75,0,1.5,0.02,0,0,0,6.35,180,12,2.54,3,6.44
380,0.03,0.4,0.33,0.008,0.005,14.75,6.44,0.76,0.035,0.75,0,1.5,0.02,0,0,0,6.35,180,12,2.54,2,4.94
381,0.03,0.4,0.33,0.008,0.005,14.75,6.44,0.76,0.035,0.75,0,1.5,0.02,0,0,0,6.35,180,12,2.54,1.5,1.79
382,0.03,0.4,0.33,0.008,0.005,14.75,6.44,0.76,0.035,0.75,0,1.5,0.02,0,0,0,6.35,180,12,2.54,1,0.84
383,0.02,0.33,0.33,0.017,0.007,14.7,4.7,0.38,0.035,0.2,0,3.2,0.02,0,0,0,6.35,180,12,2.54,3,6.95
384,0.02,0.33,0.33,0.017,0.007,14.7,4.7,0.38,0.035,0.2,0,3.2,0.02,0,0,0,6.35,180,12,2.54,2,1.98
385,0.02,0.33,0.33,0.017,0.007,14.7,4.7,0.38,0.035,0.2,0,3.2,0.02,0,0,0,6.35,180,12,2.54,1.5,0.51
386,0.02,0.33,0.33,0.017,0.007,14.7,4.7,0.38,0.035,0.2,0,3.2,0.02,0,0,0,6.35,180,12,2.54,1,1.11
387,0.017,0.54,1.9,0.024,0.001,19.1,10.7,0.21,0.035,0,0,0,0.02,0,0,0,6.35,180,12,2.54,3,2.59
388,0.017,0.54,1.9,0.024,0.001,19.1,10.7,0.21,0.035,0,0,0,0.02,0,0,0,6.35,180,12,2.54,2,0.41
389,0.017,0.54,1.9,0.024,0.001,19.1,10.7,0.21,0.035,0,0,0,0.02,0,0,0,6.35,180,12,2.54,1.5,0
390,0.017,0.54,1.9,0.024,0.001,19.1,10.7,0.21,0.035,0,0,0,0.02,0,0,0,6.35,180,12,2.54,1,0
391,0.017,0.54,1.9,0.024,0.001,19.1,10.7,0.21,0.035,0,0,0,0.02,0,0,0,6.35,180,12,2.54,0.5,0
392,0.02,0.53,1.7,0.02,0.008,18.7,10.9,0.19,0.035,0,0,0,0.02,0,0,0,6.35,180,12,2.54,1.5,8.87
393,0.02,0.53,1.7,0.02,0.008,18.7,10.9,0.19,0.035,0,0,0,0.02,0,0,0,6.35,180,12,2.54,1,6.17
394,0.02,0.53,1.7,0.02,0.008,18.7,10.9,0.19,0.035,0,0,0,0.02,0,0,0,6.35,180,12,2.54,0.5,1.75
395,0.062,0.3,0.35,0.031,0.016,16.6,0.44,0.12,0.036,0,0,0.14,0.026,0,0,0,5,300,14,4.45,3.2,8.36
396,0.001,0.26,0.005,0.02,0.02,26.4,0.13,1,0.011,0,0,0.005,0.005,0,0,0,5,300,14,4.45,3.2,0.32
397,0.06,0.5,1.76,0.029,0.012,18.3,9.1,0.35,0.038,0,0,0.28,0.029,0,0,0,5,300,14,4.45,3.2,1.56
398,0.062,0.3,0.35,0.031,0.016,16.6,0.44,0.12,0.036,0,0,0.14,0.026,0,0,0,5,300,14,4.45,1.6,4.06
399,0.001,0.26,0.005,0.02,0.02,26.4,0.13,1,0.011,0,0,0.005,0.005,0,0,0,5,300,14,4.45,1.6,0.2
400,0.06,0.5,1.76,0.029,0.012,18.3,9.1,0.35,0.038,0,0,0.28,0.029,0,0,0,5,300,14,4.45,1.6,0.34
401,0.062,0.3,0.35,0.031,0.016,16.6,0.44,0.12,0.036,0,0,0.14,0.026,0,0,0,5,300,14,4.45,0.8,1.73
402,0.001,0.26,0.005,0.02,0.02,26.4,0.13,1,0.011,0,0,0.005,0.005,0,0,0,5,300,14,4.45,0.8,0.16
403,0.06,0.5,1.76,0.029,0.012,18.3,9.1,0.35,0.038,0,0,0.28,0.029,0,0,0,5,300,14,4.45,0.8,0.16
404,0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0,1.7,0.02,0,0,0,6.4,180,17,2.53,1,0.41
405,0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0,1.7,0.02,0,0,0,6.4,180,17,2.53,1.5,0.76
406,0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0,1.7,0.02,0,0,0,6.4,180,17,2.53,2.1,3
407,0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0,1.7,0.02,0,0,0,6.4,180,17,2.53,3.1,6.24
408,0.027,0.54,1.1,0.023,0.001,24.9,5.4,3.1,0.17,0,0,1.7,0.02,0,0,0,6.4,180,17,2.53,5,10.44
409,0.067,0.44,1.7,0.024,0.001,21.6,4.9,2.4,0.1,0,0,0.2,0.02,0,0,0,6.4,180,17,2.53,1,0.34
410,0.067,0.44,1.7,0.024,0.001,21.6,4.9,2.4,0.1,0,0,0.2,0.02,0,0,0,6.4,180,17,2.53,1.5,0.41
411,0.067,0.44,1.7,0.024,0.001,21.6,4.9,2.4,0.1,0,0,0.2,0.02,0,0,0,6.4,180,17,2.53,2.1,2.42
412,0.067,0.44,1.7,0.024,0.001,21.6,4.9,2.4,0.1,0,0,0.2,0.02,0,0,0,6.4,180,17,2.53,3.1,5.57
413,0.067,0.44,1.7,0.024,0.001,21.6,4.9,2.4,0.1,0,0,0.2,0.02,0,0,0,6.4,180,17,2.53,5,6.31
414,0.024,0.62,1.7,0.025,0.008,20.8,9,0.07,0.007,0,0,0,0.02,0,0,0,6.4,180,17,2.53,0.5,0
415,0.024,0.62,1.7,0.025,0.008,20.8,9,0.07,0.007,0,0,0,0.02,0,0,0,6.4,180,17,2.53,1,0
416,0.024,0.62,1.7,0.025,0.008,20.8,9,0.07,0.007,0,0,0,0.02,0,0,0,6.4,180,17,2.53,2.1,0.72
417,0.024,0.62,1.7,0.025,0.008,20.8,9,0.07,0.007,0,0,0,0.02,0,0,0,6.4,180,17,2.53,3.1,3.58
418,0.024,0.62,1.7,0.025,0.008,20.8,9,0.07,0.007,0,0,0,0.02,0,0,0,6.4,180,17,2.53,5,7.1
419,0.033,0.54,1.8,0.027,0.009,22.8,7.1,0.06,0.006,0,0,0,0.02,0,0,0,6.4,180,17,2.53,0.5,0
420,0.033,0.54,1.8,0.027,0.009,22.8,7.1,0.06,0.006,0,0,0,0.02,0,0,0,6.4,180,17,2.53,1,0
421,0.033,0.54,1.8,0.027,0.009,22.8,7.1,0.06,0.006,0,0,0,0.02,0,0,0,6.4,180,17,2.53,2.1,1.18
422,0.033,0.54,1.8,0.027,0.009,22.8,7.1,0.06,0.006,0,0,0,0.02,0,0,0,6.4,180,17,2.53,3.1,2.23
423,0.033,0.54,1.8,0.027,0.009,22.8,7.1,0.06,0.006,0,0,0,0.02,0,0,0,6.4,180,17,2.53,5,5.98
424,0.023,0.41,1.7,0.007,0.002,18.3,11.4,0.04,0.037,0,0,0,0.02,0,0,0,6.4,180,17,2.53,0.5,1.73
425,0.023,0.41,1.7,0.007,0.002,18.3,11.4,0.04,0.037,0,0,0,0.02,0,0,0,6.4,180,17,2.53,1,6.23
426,0.023,0.41,1.7,0.007,0.002,18.3,11.4,0.04,0.037,0,0,0,0.02,0,0,0,6.4,180,17,2.53,2.1,8.92
427,0.023,0.41,1.7,0.007,0.002,18.3,11.4,0.04,0.037,0,0,0,0.02,0,0,0,6.4,180,17,2.53,3.1,11.86
428,0.017,0.54,1.9,0.024,0.001,18.6,10.7,0.21,0.04,0,0,0,0.02,0,0,0,6.4,180,17,2.53,0.5,0
429,0.017,0.54,1.9,0.024,0.001,18.6,10.7,0.21,0.04,0,0,0,0.02,0,0,0,6.4,180,17,2.53,1,0
430,0.017,0.54,1.9,0.024,0.001,18.6,10.7,0.21,0.04,0,0,0,0.02,0,0,0,6.4,180,17,2.53,2.1,0.47
431,0.017,0.54,1.9,0.024,0.001,18.6,10.7,0.21,0.04,0,0,0,0.02,0,0,0,6.4,180,17,2.53,3.1,2.65
432,0.017,0.54,1.9,0.024,0.001,18.6,10.7,0.21,0.04,0,0,0,0.02,0,0,0,6.4,180,17,2.53,5,5.55
433,0.012,0.19,1.35,0.002,0.012,23.31,21.93,0,0.02,0,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0.43
434,0.013,0.18,1.47,0.002,0.013,24.43,23.04,0,0.02,0.15,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0.78
435,0.015,0.19,1.46,0.003,0.013,24.34,22.89,0,0.02,0.24,0,0,0.02,0,0,0,5,70,16,1.25,1.2,1.3
436,0.017,0.19,1.46,0.002,0.013,24.53,22.93,0,0.02,0.31,0,0,0.02,0,0,0,5,70,16,1.25,1.2,2.48
437,0.013,0.22,1.49,0.003,0.013,23.65,22.51,0,0.02,0.41,0,0,0.02,0,0,0,5,70,16,1.25,1.2,3.93
438,0.012,0.2,1.4,0.002,0.013,22.27,22.41,0,0.02,0.52,0,0,0.02,0,0,0,5,70,16,1.25,1.2,3.32
439,0.015,0.21,1.5,0.003,0.013,24.35,22.99,0,0.02,0.73,0,0,0.02,0,0,0,5,70,16,1.25,1.2,3.38
440,0.016,0.19,1.43,0.003,0.012,24.15,22.69,0,0.02,0.94,0,0,0.02,0,0,0,5,70,16,1.25,1.2,4.4
441,0.025,0.2,1.5,0.001,0.001,25,21.01,0,0.02,0,0,0,0.02,0,0,0,5,70,16,1.25,0.5,0
442,0.024,0.18,1.8,0.001,0.001,25.15,29.57,3.76,0.02,0.27,0,0,0.02,0,0,0,5,70,16,1.25,0.5,0
443,0.025,0.2,1.5,0.001,0.001,25,21.01,0,0.02,0,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0.42
444,0.024,0.18,1.8,0.001,0.001,25.15,29.57,3.76,0.02,0.27,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0.53
445,0.025,0.2,1.5,0.001,0.001,25,21.01,0,0.02,0,0,0,0.02,0,0,0,5,70,16,1.25,2.5,1
446,0.024,0.18,1.8,0.001,0.001,25.15,29.57,3.76,0.02,0.27,0,0,0.02,0,0,0,5,70,16,1.25,2.5,1.1
447,0.025,0.2,1.5,0.001,0.001,25,21.01,0,0.02,0,0,0,0.02,0,0,0,5,70,16,1.25,5,2.6
448,0.024,0.18,1.8,0.001,0.001,25.15,29.57,3.76,0.02,0.27,0,0,0.02,0,0,0,5,70,16,1.25,5,3.17
449,0.014,0.01,1.48,0.002,0.003,24.8,21,0,0.02,0,0,0,0.02,0,0,0,5,70,16,1.25,0.5,0
450,0.014,0.01,1.48,0.002,0.003,24.8,21,0,0.02,0,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0.41
451,0.014,0.01,1.48,0.002,0.003,24.8,21,0,0.02,0,0,0,0.02,0,0,0,5,70,16,1.25,2.5,3
452,0.014,0.01,1.48,0.002,0.003,24.8,21,0,0.02,0,0,0,0.02,0,0,0,5,70,16,1.25,5,6
453,0.053,0.65,1,0.026,0.004,25.1,19.9,0,0.017,0,0,0,0.02,0,0,0,5,70,16,1.25,0.5,3
454,0.053,0.65,1,0.026,0.004,25.1,19.9,0,0.017,0,0,0,0.02,0,0,0,5,70,16,1.25,1.2,3.7
455,0.053,0.65,1,0.026,0.004,25.1,19.9,0,0.017,0,0,0,0.02,0,0,0,5,70,16,1.25,2.5,5.1
456,0.053,0.65,1,0.026,0.004,25.1,19.9,0,0.017,0,0,0,0.02,0,0,0,5,70,16,1.25,5,7.3
457,0.015,0.38,1.74,0.018,0.008,17.5,11.4,0,0.03,0.3,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0
458,0.016,0.36,1.69,0.025,0.007,18,11.1,0,0.043,0.29,0,0,0.02,0,0,0,5,70,16,1.25,1.2,2
459,0.016,0.35,1.69,0.025,0.007,17.7,11.4,0,0.062,0.3,0,0,0.02,0,0,0,5,70,16,1.25,1.2,6.2
460,0.018,0.35,1.7,0.025,0.007,18,11.2,0,0.08,0.3,0,0,0.02,0,0,0,5,70,16,1.25,1.2,6.3
461,0.0054,0.18,1.48,0.005,0.003,18.77,9.69,0,0.0237,0.26,0,0,0.02,0,0,0,5,70,16,1.25,2.5,0
462,0.0049,0.18,1.47,0.004,0.003,18.61,9.72,0,0.0218,0.53,0,0,0.02,0,0,0,5,70,16,1.25,2.5,0.14
463,0.0058,0.19,1.49,0.004,0.002,18.67,9.76,0,0.0221,0.78,0,0,0.02,0,0,0,5,70,16,1.25,2.5,0.44
464,0.0054,0.18,1.43,0.005,0.003,18.57,9.63,0,0.0243,1.18,0,0,0.02,0,0,0,5,70,16,1.25,2.5,0.41
465,0.0054,0.18,1.48,0.005,0.003,18.77,9.69,0,0.0237,0.26,0,0,0.02,0,0,0,5,70,16,1.25,5,0.75
466,0.0049,0.18,1.47,0.004,0.003,18.61,9.72,0,0.0218,0.53,0,0,0.02,0,0,0,5,70,16,1.25,5,2.94
467,0.0058,0.19,1.49,0.004,0.002,18.67,9.76,0,0.0221,0.78,0,0,0.02,0,0,0,5,70,16,1.25,5,4.84
468,0.0054,0.18,1.43,0.005,0.003,18.57,9.63,0,0.0243,1.18,0,0,0.02,0,0,0,5,70,16,1.25,5,6.04
469,0.02,0.2,1.56,0.005,0.003,18.46,10,0,0.0223,0.23,0,0,0.02,0,0,0,5,70,16,1.25,2.4,0
470,0.018,0.2,1.47,0.004,0.003,18.68,10,0,0.0315,0.25,0,0,0.02,0,0,0,5,70,16,1.25,2.4,0
471,0.024,0.2,1.48,0.004,0.003,18.81,9.35,0,0.0461,0.25,0,0,0.02,0,0,0,5,70,16,1.25,2.4,0
472,0.022,0.2,1.52,0.005,0.003,18.88,9.31,0,0.0932,0.25,0,0,0.02,0,0,0,5,70,16,1.25,2.4,0
473,0.029,0.2,1.46,0.005,0.003,20.22,9.28,0,0.133,0.25,0,0,0.02,0,0,0,5,70,16,1.25,2.4,0
474,0.02,0.2,1.56,0.005,0.003,18.46,10,0,0.0223,0.23,0,0,0.02,0,0,0,5,70,16,1.25,5,1.11
475,0.018,0.2,1.47,0.004,0.003,18.68,10,0,0.0315,0.25,0,0,0.02,0,0,0,5,70,16,1.25,5,1.06
476,0.024,0.2,1.48,0.004,0.003,18.81,9.35,0,0.0461,0.25,0,0,0.02,0,0,0,5,70,16,1.25,5,1.27
477,0.022,0.2,1.52,0.005,0.003,18.88,9.31,0,0.0932,0.25,0,0,0.02,0,0,0,5,70,16,1.25,5,1.83
478,0.029,0.2,1.46,0.005,0.003,20.22,9.28,0,0.133,0.25,0,0,0.02,0,0,0,5,70,16,1.25,5,1.65
479,0.015,0.35,1.61,0.008,0.004,18,9.9,0,0.022,0.29,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0
480,0.015,0.34,1.61,0.004,0.004,17.6,10,0,0.049,0.29,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0
481,0.014,0.33,1.62,0.003,0.004,17.9,9.8,0,0.048,0.29,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0.22
482,0.014,0.32,1.72,0.003,0.004,17.8,9.4,0,0.05,0.29,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0.12
483,0.016,0.34,1.76,0.024,0.008,17.9,9.9,0,0.045,0.28,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0.18
484,0.014,0.35,1.67,0.027,0.007,17.7,9.7,0,0.047,0.28,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0
485,0.014,0.33,1.73,0.026,0.007,17.9,9.5,0,0.046,0.3,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0.24
486,0.05,0.75,0.94,0.026,0.007,18.3,9.4,0,0.016,0,0,0,0.02,0,0,0,5,70,16,1.25,1.2,0
487,0.07,0.66,1.01,0.02,0.006,16.7,12.4,2.38,0.02,0,0,0,0.02,0,0,0,5,70,16,1.25,1.2,1.47
