No.,C,Si,Mn,P,S,Cr,Ni,Mo,N,Nb,Co,Cu,Al,Ti,V,B,Th,I,U,Ve,Strain,TCL
220,0.005,0.42,0.39,0.019,0.003,18.84,0.21,0,0.0055,0,0,0,0.015,0.2,0,0,4,100,10,2.5,2,0.13
221,0.008,0.41,0.38,0.018,0.003,17.84,0.21,0,0.0089,0,0,0,0.024,0.4,0,0,4,100,10,2.5,2,0.13
222,0.007,0.39,0.37,0.019,0.004,18.1,0.21,0,0.01,0,0,0,0.043,0.78,0,0,4,100,10,2.5,2,0.79
223,0.008,0.4,0.38,0.014,0.004,18.04,0.21,0,0.0096,0,0,0,0.041,1.06,0,0,4,100,10,2.5,2,0.99
224,0.005,0.42,0.39,0.019,0.003,18.84,0.21,0,0.0055,0,0,0,0.015,0.2,0,0,4,100,10,2.5,4,2.67
225,0.008,0.41,0.38,0.018,0.003,17.84,0.21,0,0.0089,0,0,0,0.024,0.4,0,0,4,100,10,2.5,4,3.2
226,0.007,0.39,0.37,0.019,0.004,18.1,0.21,0,0.01,0,0,0,0.043,0.78,0,0,4,100,10,2.5,4,5.79
227,0.008,0.4,0.38,0.014,0.004,18.04,0.21,0,0.0096,0,0,0,0.041,1.06,0,0,4,100,10,2.5,4,4.9
228,0.06,0.39,0.87,0.01,0.003,19.94,33.95,0,0.02,0.05,0,0.64,0.19,0.42,0,0,6.5,170,14,2.55,0.5,4.07
229,0.08,0.08,0.93,0.008,0.004,19.55,32.47,0,0.018,0.05,0,0.71,0.4,0.49,0,0,6.5,170,14,2.55,0.5,0.27
230,0.05,0.26,0.63,0.008,0.004,19.88,31.88,0,0.019,0.05,0,0.67,0.3,0.42,0,0,6.5,170,14,2.55,0.5,1.09
231,0.07,0.15,0.81,0.008,0.003,20.42,32.83,0,0.017,0.04,0,0.32,0.47,0.44,0,0,6.5,170,14,2.55,0.5,0.15
232,0.06,0.39,0.87,0.01,0.003,19.94,33.95,0,0.02,0.05,0,0.64,0.19,0.42,0,0,6.5,170,14,2.55,1,5.95
233,0.08,0.08,0.93,0.008,0.004,19.55,32.47,0,0.018,0.05,0,0.71,0.4,0.49,0,0,6.5,170,14,2.55,1,1.94
234,0.05,0.26,0.63,0.008,0.004,19.88,31.88,0,0.019,0.05,0,0.67,0.3,0.42,0,0,6.5,170,14,2.55,1,2.6
235,0.07,0.15,0.81,0.008,0.003,20.42,32.83,0,0.017,0.04,0,0.32,0.47,0.44,0,0,6.5,170,14,2.55,1,2.85
236,0.06,0.39,0.87,0.01,0.003,19.94,33.95,0,0.02,0.05,0,0.64,0.19,0.42,0,0,6.5,170,14,2.55,1.5,13.61
237,0.08,0.08,0.93,0.008,0.004,19.55,32.47,0,0.018,0.05,0,0.71,0.4,0.49,0,0,6.5,170,14,2.55,1.5,5.29
238,0.05,0.26,0.63,0.008,0.004,19.88,31.88,0,0.019,0.05,0,0.67,0.3,0.42,0,0,6.5,170,14,2.55,1.5,6.98
239,0.07,0.15,0.81,0.008,0.003,20.42,32.83,0,0.017,0.04,0,0.32,0.47,0.44,0,0,6.5,170,14,2.55,1.5,6.53
240,0.06,0.39,0.87,0.01,0.003,19.94,33.95,0,0.02,0.05,0,0.64,0.19,0.42,0,0,6.5,170,14,2.55,2,13.03
241,0.08,0.08,0.93,0.008,0.004,19.55,32.47,0,0.018,0.05,0,0.71,0.4,0.49,0,0,6.5,170,14,2.55,2,8.84
242,0.05,0.26,0.63,0.008,0.004,19.88,31.88,0,0.019,0.05,0,0.67,0.3,0.42,0,0,6.5,170,14,2.55,2,9.17
